ProjectID,sampleID,sampleName,libraryID,libraryType,Species
RD2018003,KT,WT11 K562：293T=1：1,NA,scRNA-SCOPE,human
RD2018003,KT2,WT12 K562：293T=1：2,NA,scRNA-SCOPE,human
RD2018003,KT5,WT13 K562：293T=1：5,NA,scRNA-SCOPE,human
RD2018003,KT10,WT14 K562：293T=1：10,NA,scRNA-SCOPE,human
RD2018006,KT12,WT40 293T+K562等比例混合，PCR 12 cycs,NA,scRNA-SCOPE,human
RD2018006,KT14,WT41 293T+K562等比例混合，PCR 14 cycs,NA,scRNA-SCOPE,human
RD2018006,KT16,WT42 293T+K562等比例混合，PCR 16 cycs,NA,scRNA-SCOPE,human
RD2018004,KTL,WT18 293T、K562、L9293种细胞混合,NA,scRNA-SCOPE,human-mouse
RD2018002,K562_1,MS11,NA,scRNA-SCOPE,human
RD2018002,K562_2,MS12,NA,scRNA-SCOPE,human
RD2018002,293T_1,MS21,NA,scRNA-SCOPE,human
RD2018002,293T_2,MS22,NA,scRNA-SCOPE,human
RD2018002,3T3_1,MS31,NA,scRNA-SCOPE,mouse
RD2018002,3T3_1,MS32,NA,scRNA-SCOPE,mouse
RD2018002,HM1,MS41,NA,scRNA-SCOPE,human-mouse
RD2018002,HM2,MS42,NA,scRNA-SCOPE,human-mouse
RD2018007,Z1,Barcode 1（96*20）,R1812006,RNA-Seq,human
RD2018007,Z2,Barcode 2（96*20）,R1812007,RNA-Seq,human
RD2018007,Z3,Postive Control,R1812008,RNA-Seq,human
RD2018007,Y1,NH2-96*20-Y,R1812009,RNA-Seq,human
